date,capital,period_return,unlev_return,leverage,turnover,gross_exposure,n_long,n_short
2016-01-04,1002391.5819584974,0.002391581958497532,0.0032527265831385245,1.0,1.722289249281985,1.722289249281985,2,5
2016-02-03,970587.0052703547,-0.03172869491382017,-0.03096483953846116,1.0,1.527710750718015,1.75,3,4
2016-03-04,964256.4769727864,-0.006522370754185997,-0.0063921432199380394,1.0,0.26045506849591543,1.4895449315040845,3,4
2016-04-05,956233.7560994565,-0.008320110950684583,-0.007807902367453719,1.0,1.0244171664617285,1.534872234957644,6,1
2016-05-04,943521.6749578412,-0.013293905449927632,-0.01266731667404912,1.0,1.2531775517570223,1.718305316799378,3,4
2016-06-03,955136.3251161333,0.012309892254262484,0.013294044912662173,1.0,1.968305316799378,1.75,7,0
2016-07-05,926378.8870310612,-0.03010820270245249,-0.012428937889174624,2.3100831466944842,2.7926455067153473,4.042645506715347,6,1
2016-08-03,930763.7513445802,0.004733337919187587,0.002190082711672925,2.501390918841063,1.489830174603755,4.37743410797186,7,0
2016-09-01,912597.063077487,-0.01951804444559607,-0.007211164892962724,2.607096695272513,1.4356805681755693,4.562419216726898,6,1
2016-10-03,841238.7795872473,-0.0781925412400552,-0.028004778940476982,2.786508546837566,0.3139707402388422,4.87638995696574,6,1
2016-11-02,928336.8524493871,0.1035354942919707,0.04156646976067413,2.557189450143906,5.515687319501717,4.475081537751835,2,5
2016-12-05,969267.0423510978,0.044089804033651966,0.025941677260394175,1.7438140399888502,2.2953139877657724,3.051674569980488,3,4
2017-01-05,993115.3239081843,0.024604449047642266,0.014839223918884148,1.6628429420068995,0.1416994214684137,2.909975148512074,3,4
2017-02-06,1057955.6777981422,0.06528985338257894,0.03857804916234639,1.6930955778524688,0.052942112729746194,2.96291726124182,3,4
2017-03-08,1040645.820220939,-0.016361609413760275,-0.010428011554521527,1.5576397765473713,0.2370476522839206,2.7258696089578995,3,4
2017-04-06,1074178.5407983477,0.03222299069080913,0.020194525541962577,1.5973506088077183,0.06949395645560724,2.795363565413507,3,4
2017-05-08,1080253.4855187014,0.005655432956088295,0.0035128590022177053,1.6140935394204,0.02930012857219283,2.8246636939856997,3,4
2017-06-07,1041596.1080412912,-0.03578546886969603,-0.020713512318602773,1.666962041247903,2.51366018732873,2.91718357218383,6,1
2017-07-07,1069548.8775820949,0.026836476562271682,0.016952724326135538,1.6568406778332387,2.5029734027255204,2.8994711862081677,3,4
2017-08-07,1078029.5781561008,0.007929231428093458,0.005472983798461478,1.6794592329681954,2.5248434882360327,2.939053657694342,6,1
2017-09-06,1089934.9727869437,0.011043662318807886,0.006670625924550533,1.7244039605571724,0.9183828897648072,3.0177069309750517,7,0
2017-10-05,1133977.288132336,0.040408204567266,0.02337404370352142,1.7672552489790407,1.799393715295442,3.0926966857133213,5,2
2017-11-03,1158759.4751336107,0.02185421812291397,0.012886992522161217,1.7644834610385678,1.7693340899343954,3.0878460568174937,3,4
2017-12-05,1257442.9905453585,0.08516307096463589,0.04741089361533379,1.796874228470263,0.05668384300546664,3.1445298998229605,3,4
2018-01-05,1271130.036009011,0.01088482385807117,0.00661657745105515,1.662812523713298,0.23460798332468874,2.9099219164982717,3,4
2018-02-06,1319584.6432090004,0.03811931574846824,0.02246101784441701,1.698523324426045,0.06249390124730708,2.9724158177455786,3,4
2018-03-08,1231444.8331532776,-0.0667936009329284,-0.039032571569718316,1.7109487286771312,0.02174445743940101,2.9941602751849796,3,4
2018-04-09,1272778.8182458172,0.03356543791466347,0.021256363279648742,1.5963522195331994,0.7344095720156101,2.2597507031693693,3,4
2018-05-08,1321876.1384765839,0.03857490361006655,0.024072933647202414,1.6096828167466413,0.3497680610344703,2.6095187642038398,3,4
2018-06-07,1321617.0754040377,-0.00019598135181164649,-5.278083409696044e-05,1.6175595342776041,0.22121042078196734,2.830729184985807,3,4
2018-07-09,1381790.7732874746,0.045530357471388457,0.027710524258089814,1.6439027780721178,0.04610067664039896,2.8768298616262062,3,4
2018-08-07,1387473.419151208,0.004112522657980653,0.002629133915099141,1.642710152441797,0.41276463296351057,3.285420304883594,4,4
2018-09-06,1426192.3696392647,0.027906084508446366,0.016736554672787424,1.66894055923313,0.05246081358266563,3.33788111846626,4,4
2018-10-05,1292644.0730346586,-0.09363974976137703,-0.055425015109086456,1.6891212193093772,0.040361320152494606,3.3782424386187544,4,4
2018-11-05,1247875.0267782572,-0.03463369939978905,-0.022434598402113093,1.5169937409351135,1.201108086781184,2.73350113090878,3,5
2018-12-06,1292933.8148452807,0.03610841398385501,0.02477252139860496,1.5083318770354004,2.5135394324048583,2.5989028961203893,1,7
2019-01-08,1190515.0185121498,-0.07921426074341385,-0.05146853896763476,1.5129535688551308,2.689502057142973,3.0259071377102615,4,4
2019-02-07,1159521.1567676254,-0.026033994752337558,-0.01808010481334512,1.4202456785519688,0.7116080468350056,2.314299090875256,4,4
2019-03-11,1195671.2138929968,0.031176711968021516,0.02233349539722517,1.4252776051761222,1.3094377338950474,2.2619423409986092,7,1
2019-04-09,1194293.005084718,-0.0011526653751171582,-0.0004582530733029406,1.432049009445619,0.992849030836543,2.828479030960272,8,0
2019-05-09,1217861.34901709,0.019734138801809197,0.013621703894461358,1.4503626956400832,0.044544755545596115,2.8480321770953,8,0
2019-06-10,1270256.092108509,0.043021927852218915,0.029567289450204825,1.4652390093124266,0.6024360997059224,2.8306733573509133,7,1
2019-07-10,1269324.2063498632,-0.000733620381303646,-0.000308537880255734,1.4615682038847497,0.5653424516557298,2.8501578079014407,8,0
2019-08-08,1299686.997642255,0.023920438246194393,0.01638509811199864,1.4787261415489665,0.6172693277252229,2.8826002334204066,7,1
2019-09-09,1289039.4032518587,-0.008192429723242505,-0.005460216679193941,1.4912394302469023,0.09987862707339829,2.9824788604938046,7,1
2019-10-08,1192970.3579488413,-0.07452762503664676,-0.04898382953852376,1.5055829321708412,1.556814662158974,2.799714887354922,5,3
2019-11-06,1228436.624036249,0.029729377474548,0.02143907215938226,1.440388578088493,2.3024343772824256,2.880777156176986,8,0
2019-12-06,1289629.6069201492,0.049813707672471966,0.03443416254650364,1.4468231117528645,0.012869067328742823,2.893646223505729,8,0
2020-01-08,1357338.8437804228,0.05250285546869128,0.03655444236945915,1.4365724845462835,0.020501254413161973,2.873144969092567,8,0
2020-02-07,1173446.603304177,-0.13547998078657664,-0.09509051481783326,1.4246219032975755,0.023901162497415918,2.849243806595151,8,0
2020-03-10,1244372.3432057416,0.06044223887295143,0.0495481107548746,1.2424250921212197,2.235154392212082,2.1668853045951817,5,3
2020-04-08,1206400.6791663915,-0.030514712293852247,-0.02483676251954265,1.220700285843654,0.39293837363116646,1.8760894982194092,5,3
2020-05-08,1138904.0646757141,-0.05594875372361081,-0.045753169744299826,1.2210557810945597,0.1631626078656091,1.7136378808556116,5,3
2020-06-09,1166841.3346250986,0.024529958945522932,0.020838763716550638,1.1995716850679428,0.935263921344843,1.7348889325918826,7,1
2020-07-09,1170122.1175249226,0.0028116786768426862,0.0025216885135974226,1.2061803404328924,0.4598648659079344,1.8915507142083052,6,2
2020-08-07,1154148.7228559046,-0.013651049262110687,-0.010935043192562405,1.2175054263135494,0.6751496763858379,2.099713295765328,8,0
2020-09-08,1157780.8524849082,0.0031470204463909432,0.0027532649450485672,1.2263219567027615,0.45873761668427393,2.324611389408795,7,1
2020-10-07,1198088.7176880867,0.03481476232455139,0.028587861639102707,1.2374132337903072,1.120471986881125,2.4748264675806144,7,1
2020-11-05,1316093.8173136201,0.09849445861842686,0.07976570568014152,1.238691354957068,0.6212628592286751,2.477382709914136,6,2
2020-12-07,1398851.9441255773,0.0628816317828171,0.05358839134411528,1.1746146306743375,0.12815344856546096,2.349229261348675,6,2
2021-01-07,1481739.5051472324,0.05925399136751971,0.05122415531237043,1.1571006871580787,0.03502788703251758,2.3142013743161574,6,2
2021-02-08,1497315.0425462597,0.010511656971364525,0.009449779006164394,1.1440206352971383,0.59817042137045,2.2880412705942765,5,3
2021-03-10,1585517.5243543624,0.05890709657074577,0.05108298649110757,1.153347273843278,0.018653277092279374,2.306694547686556,5,3
2021-04-09,1575454.7004152765,-0.0063467125304614075,-0.0052986831048821015,1.1417294053841849,0.5941004396102786,2.2834588107683698,4,4
2021-05-10,1584430.242751647,0.0056971122901880765,0.005072501332361725,1.149588066202964,0.2683494145871953,2.038685378637512,4,4
2021-06-09,1622684.8627143134,0.024144085949931282,0.02120610370118861,1.1586667386937177,0.8534421318514054,2.3173334773874354,5,3
2021-07-09,1629247.7245755834,0.004044446344493578,0.0037248375482993867,1.1653708649365666,0.5927416218325566,2.330741729873133,4,4
2021-08-09,1654886.7742942104,0.015736741154759582,0.013440542283324315,1.1742371156277607,0.09128489696824116,2.270488710324071,4,4
2021-09-08,1593474.6701928286,-0.03710955036641303,-0.03069529641782625,1.1825687961819344,1.620501266273196,2.285605345018526,5,3
2021-10-07,1705296.7091904585,0.07017497114284106,0.06027154505285007,1.177617465483738,1.6037059661703128,2.2621442848611313,4,4
2021-11-05,1667866.8991972678,-0.02194914808166103,-0.018904670171822624,1.157795182207093,0.12282407102131176,2.315590364414186,4,4
2021-12-07,1690195.6552644682,0.013387612691364613,0.01158653883262806,1.1601684823434388,0.10944896339760482,2.214447951493791,4,4
2022-01-06,1663331.1776636518,-0.015894300471748012,-0.013446697360386298,1.1681579379896376,0.3728684209369034,2.219010157645148,3,5
2022-02-07,1685598.2319699167,0.013387023946452761,0.011923750597909639,1.1727595927067669,1.193337896577629,2.106927215239648,1,7
2022-03-09,1722842.5786419385,0.0220956251410486,0.018915454650561613,1.1805506099953484,0.4700527700225249,2.051789148833603,0,8
2022-04-07,1851217.1843742384,0.07451325345899762,0.06294331600431932,1.1870754273638968,0.4104205730611059,2.0242683903012715,1,7
2022-05-09,1757596.8517713554,-0.050572311770393,-0.043057578586699646,1.166085759667201,0.7269650693822735,2.332171519334402,0,8
2022-06-08,1891244.097663295,0.07603976176746466,0.06598987562240444,1.1525002369359638,0.027171045462474286,2.3050004738719276,0,8
2022-07-11,1700291.3912968764,-0.1009667163547784,-0.08921522301746729,1.1314851643925272,0.042030145086873194,2.2629703287850544,0,8
2022-08-09,1781520.2715249027,0.04777350555546252,0.04483810895031158,1.0727542525757685,0.6535329968797146,1.6094373319053399,0,8
2022-09-08,2012105.2917086163,0.12943160056570285,0.12123611234399456,1.0698041707561872,0.5345961323364065,2.1396083415123743,0,8
2022-10-07,1947999.0174232288,-0.03186029804183379,-0.031768233721402,1.0007234783080876,0.1381613848961991,2.001446956616175,0,8
2022-11-07,1819759.6136525918,-0.06583134930954397,-0.06563352346192206,0.9989333945722308,0.5356618399800247,1.7646301782666542,1,7
2022-12-07,1841848.7339011896,0.012138482513226571,0.012483061285544075,0.9790072806720251,0.16505074079233245,1.8554679666242222,1,7
2023-01-09,1868551.47902484,0.014497794868904228,0.01520399146819023,0.9847855351388591,0.9497520106882713,1.4927102665804943,3,5
2023-02-08,1822319.5776980566,-0.02474210737341361,-0.024937083703532464,0.9903400607455355,0.09182876728153144,1.5845390338620258,3,5
2023-03-10,1691261.3307863718,-0.0719183663039151,-0.07189074441916553,0.9914837548685329,1.2797221738136766,1.849638800913124,0,8
2023-04-11,1698224.540508923,0.004117169591593028,0.0059171208764934695,0.9695029656816357,3.238993292928221,1.6934303544827678,7,1
2023-05-10,1699297.8027923652,0.0006319907985316667,0.0007247586724532414,0.9751218899542701,0.1494744958233717,1.8429048503061396,7,1
2023-06-09,1769815.1871958496,0.041497955383457075,0.04347292677619691,0.980615452509,2.264536758147754,1.8736799881254944,4,4
2023-07-12,1788749.2856973098,0.010698347849223725,0.010964636062739341,0.9797645300786082,0.08882730053809312,1.9595290601572164,4,4
2023-08-10,1798544.5798032165,0.005476057591876637,0.00559729313322347,0.9851332492320376,0.0760439587199429,1.9022756184742764,4,4
2023-09-11,1793462.3880041915,-0.0028257246754377924,-0.0028283078508026804,0.990590941728242,0.04805707602756995,1.9503326945018462,4,4
2023-10-10,1801914.8034769585,0.004712903671301988,0.00498870709795976,0.9956909407358111,0.5086135842419672,1.9342101952363366,3,5
2023-11-08,1786026.2634917167,-0.008817586688662251,-0.00877408197896612,1.0010855042281344,0.06796081321993189,2.0021710084562687,3,5
2023-12-07,1861674.9895926418,0.04235588672309352,0.0426469464840926,1.0055203426089616,1.0529710336346363,1.9658074133826624,5,3
2024-01-09,1935579.4105925895,0.03969781052713123,0.03977321082546009,1.0047339340181993,0.5273681081370369,1.9880561244429316,6,2
2024-02-08,1959053.484348767,0.01212767279281546,0.01207855700301258,1.0049724641545315,0.021888803866131346,2.009944928309063,6,2
2024-03-11,1916857.025758938,-0.021539207033878478,-0.020822486631531106,1.0100449888285374,1.0151175135025434,2.020089977657075,8,0
2024-04-10,1924908.7081683443,0.004200460598368564,0.005150619382712718,1.0120081392824007,2.024016278564802,2.0240162785648015,4,4
2024-05-09,1944930.317237097,0.010401329155918355,0.010230965646392726,1.0171548000836848,0.010293321602568017,2.0343096001673695,4,4
2024-06-10,2002650.6142909161,0.029677308509342637,0.02906895761596364,1.022201646287544,0.07405564311647936,1.9779179187643976,4,4
2024-07-11,1900432.2252920305,-0.05104154877014257,-0.04926441927052333,1.0249677138236357,1.0942191551704177,2.0499354276472714,6,2
2024-08-09,1967689.7985536663,0.03539067185166299,0.03531951016566737,1.016642589389473,1.0332928382577984,2.033285178778946,8,0
2024-09-10,2029100.29627172,0.031209440514044912,0.03071431802517638,1.0179036203586644,0.10955000125901618,1.9281487859120998,8,0
2024-10-09,2083355.7881235564,0.026738693967728343,0.026262797479094352,1.0202599136576813,0.11237104140326284,2.0405198273153626,8,0
2024-11-07,2119783.169665291,0.017484954681957814,0.017087169187846363,1.0234674961172774,0.00641516491919214,2.0469349922345548,8,0
2024-12-09,2058567.6723352554,-0.028878188206250044,-0.027842438617224297,1.0278530613092458,0.5205048784425755,2.0557061226184916,7,1
2025-01-09,2095025.3229394446,0.01771020262978848,0.017733113508842907,1.0276936893970372,1.0280124332214544,2.0553873787940744,5,3
2025-02-10,1891350.285132946,-0.09721841334152971,-0.0939205795263581,1.0319310207722012,0.5977076787565754,1.9863572045490918,4,4
2025-03-12,1895381.4779104237,0.0021313834931397835,0.00297498107937217,0.9966960247952762,1.6675366450232372,1.8138645967187688,5,3
2025-04-10,1763959.1016600963,-0.06933821913001637,-0.06855510357034027,1.0012345198492094,1.396965847107789,1.5764932999795729,3,5
2025-05-12,1749372.4671220498,-0.00826925892120683,-0.008291081436721786,0.9856771860601928,0.19385820252599614,1.3826350974535766,3,5
2025-06-11,1798509.725256101,0.028088505482705143,0.028876413480626053,0.9894975755118595,0.9692712917046161,1.557990566371425,7,1
2025-07-11,1808290.335993367,0.0054381750623413855,0.0056976734961767805,0.9918057913023466,0.4256210162332679,1.9836115826046932,7,1
2025-08-11,1862271.8652344209,0.029852246714242078,0.029997131372165635,0.9961821528742144,0.0607203922650463,1.9382084558411843,7,1
2025-09-10,1924812.4386330056,0.0335829448783046,0.03391957038131374,0.9982781004717074,0.5564388215393378,1.9965562009434148,8,0
2025-10-09,1922003.0456644092,-0.0014595671309104467,-0.0014587338630769053,0.9996385815853859,0.00272096222735696,1.9992771631707718,8,0
2025-11-07,1951177.9834154616,0.015179444078855213,0.015126501701638262,1.0037733188837108,0.00826947459664984,2.0075466377674216,8,0
2025-12-09,2010410.9781065302,0.030357555894200725,0.030378336912345788,1.0077059839489082,0.5097519895722502,2.0154119678978164,7,1
2026-01-09,2014467.357717808,0.00201768675930058,0.0022497572306023894,1.0097219207370802,0.5078848655507981,2.0194438414741605,8,0
2026-02-10,1886982.1218438384,-0.06328483575846962,-0.06241211055235435,1.0139160661767248,0.008388290879289162,2.0278321323534496,8,0
2026-03-12,1965273.3090418081,0.041490158434287945,0.04248235726665613,1.001885688620862,2.144614660106633,1.8869888494885405,4,4
2026-04-13,2108468.0543784457,0.07286250959488876,0.07285575333665775,1.0012019141420962,0.16162020407480598,1.8650608624089116,4,4
2026-05-12,2132100.054215919,0.011208137485602085,0.011380788034111456,0.9900642968228427,0.11914883336059315,1.9563656524713708,4,4
2026-06-11,2203284.916427758,0.03338720529136574,0.03360530558716465,0.9939800250756777,0.03159439767998462,1.9879600501513555,4,4
